x,y,z
0.775,0.065,-0.14
0.835,0.42,0.335
0.87,0.19,0.53
0.83,0.16,0.415
0.875,0.22,0.58
0.87,0.33,0.5
0.83,0.41,0.603333333
0.9,0.2,0.32
0.855,0.04,0.46
0.84,0.155,0.505
0.795,0.32,0.43
0.875,0.035,0.52
0.88,0.22,0.32
0.91,0.153333333,0.493333333
0.87,0.08,0.41
0.9,0.22,0.5
0.846666667,0.226666667,0.466666667
0.885,0.195,0.555
0.9,0.235,0.445
0.91,0.23,0.32
0.923333333,0.056666667,0.4
0.88,0.295,0.05
0.9,0.44,-0.13
0.893333333,0.36,0.23
0.915,0.31,0.255
0.96,0.245,0.265
0.92,0.18,0.3
0.91,0.18,0.373333333
0.88,0.15,0.575
0.45,0.57,0.95
